Track Name,Artist,Album,Popularity,Duration (min),Added Date
Because Of You,Lauv,Because Of You,26,2.33,11/26/2024
Remedy,Good Boy Daisy,Remedy,50,3.55,11/26/2024
Johnny 2,Call Me Karizma,Johnny 2,19,3.1,11/26/2024
Cacao and Cocaine,SOFIA ISELLA,Cacao and Cocaine,54,2.68,11/26/2024
The Grey,Madison Bailey,The Grey,44,3.21,11/26/2024
Hardcore Romance,Beach Weather,Melt,39,3.33,11/24/2024
Haute,Janelle Monáe,The Age of Pleasure,43,1.61,11/24/2024
Automatic,half•alive,Persona,54,3.23,11/24/2024
DISCONNECTED,Chase Atlantic,LOST IN HEAVEN,61,4.18,11/24/2024
Timeless (feat. Playboi Carti),The Weeknd & Playboi Carti,Timeless,24,4.27,11/23/2024
So Damn Dangerous,Dea Matrona,For Your Sins,46,3.05,11/23/2024
Double Up,Ian,Double Up,36,2.89,11/23/2024
KEEP UP,Odetari,KEEP UP // FROSTBITE,76,2.22,11/23/2024
7,Catfish and the Bottlemen,The Ride,66,4.27,11/23/2024
Zombie,The Cranberries,No Need To Argue (The Complete Sessions 1994-1995),71,5.11,11/23/2024
São Paulo (feat. Anitta),The Weeknd & Anitta,São Paulo,18,5.03,11/23/2024
CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,86,5.06,11/15/2024
Born With a Broken Heart,Damiano David,Born With a Broken Heart,72,3.48,11/15/2024
Soft Spot,keshi,Requiem,76,3.4,11/14/2024
DISCO (FT. TOMMY GENESIS),Nessa Barrett & Tommy Genesis,DISCO (FT. TOMMY GENESIS),42,3.29,11/7/2024
Somebody Come Through,Wasia Project,Isotope,52,3.97,11/2/2024
SILHOUETTE,Jnthn,SILHOUETTE,15,3.2,11/1/2024
eat me alive,Alessi Rose,eat me alive,50,2.67,10/31/2024
Cherry Red,Stephen Dawes,Up At Night,42,2.8,10/29/2024
ScheiBe,Lady Gaga,Born This Way (International Special Edition Version),66,3.76,10/27/2024
One Eye Open,Mimi Webb,One Eye Open,49,3.55,10/27/2024
Backstabber,Kesha,Animal (Expanded Edition),70,3.11,10/27/2024
Disease,Lady Gaga,Disease,70,3.83,10/26/2024
Cigarettes & Wine (feat. Holly Humberstone),Del Water Gap & Holly Humberstone,Cigarettes & Wine (feat. Holly Humberstone),49,3.03,10/22/2024
Glitter & Honey,Del Water Gap,I Miss You Already + I Haven’t Left Yet,57,3.12,10/22/2024
Troubled Waters,Alex Warren,"You'll Be Alright, Kid (Chapter 1)",55,3.3,10/22/2024
Again (feat. XXXTENTACION),Noah Cyrus & XXXTENTACION,Again (feat. XXXTENTACION),84,3.23,10/21/2024
how could u love somebody like me?,Artemas,how could u love somebody like me?,72,2.11,10/21/2024
